X,Y,NAME,POSIT_VEG,POSIT_RES,POSIT_ARB,LONGUEUR,NACELLE,ZAR,ESSENCE_PR,COM,photo,layer,NUM_UNIQUE,icon_url
0.3678911,44.10130955,Isolé 88,1 COTE,Réseau public,Arbre privé,10.000,Oui,Non,CHÊNE,,,ISOLE ZONE 1,"88",./0.png
0.36818157,44.10057301,Isolé 89,1 COTE,Réseau public,Arbre public,10.000,Oui,Non,SAULE,,,ISOLE ZONE 1,"89",./0.png
0.36939068,44.09984507,Isolé 90,1 COTE,Réseau privé,Arbre public,10.000,Oui,Non,CHÊNE,,,ISOLE ZONE 1,"90",./0.png
0.36884176,44.11998065,Isolé 91,1 COTE,Réseau public,Arbre privé,10.000,Oui,Non,CHÊNE,,,ISOLE ZONE 1,"91",./0.png
0.36557125,44.12130637,Isolé 92,1 COTE,Réseau privé,Arbre privé,10.000,Oui,Non,NOYER,,,ISOLE ZONE 1,"92",./0.png
0.36541892,44.12135143,Isolé 93,1 COTE,Réseau privé,Arbre privé,10.000,Oui,Non,SUREAU,,,ISOLE ZONE 1,"93",./0.png
0.36536492,44.12139905,Isolé 94,1 COTE,Réseau privé,Arbre privé,10.000,Oui,Non,NOYER,,,ISOLE ZONE 1,"94",./0.png
0.36509327,44.1215725,Isolé 95,1 COTE,Réseau privé,Arbre privé,10.000,Oui,Non,CYPRÈS/MARRONNIER,,,ISOLE ZONE 1,"95",./0.png
0.36466391,44.12179638,Isolé 96,1 COTE,Réseau privé,Arbre privé,10.000,Oui,Non,ACACIA,,,ISOLE ZONE 1,"96",./0.png
0.36456531,44.12189312,Isolé 97,1 COTE,Réseau privé,Arbre privé,10.000,Oui,Non,ACACIA,,,ISOLE ZONE 1,"97",./0.png
0.36444511,44.12198145,Isolé 98,1 COTE,Réseau privé,Arbre privé,10.000,Oui,Non,ARBRE DE JUDÉE,,,ISOLE ZONE 1,"98",./0.png
